Frequency_Hz,Power_dB
49819.9462890625,-139.32289129148015
49896.240234375,-110.41160216841612
49972.5341796875,-96.49942898993504
50048.828125,-98.50478720289283
50125.1220703125,-119.53528043753629
50201.416015625,-146.08960193293495
50277.7099609375,-141.38738245994207
50354.00390625,-141.43950410220668
50430.2978515625,-142.57897121831434
50506.591796875,-143.50944617138612
50582.8857421875,-143.64111016895012
50659.1796875,-143.16685781228463
50735.4736328125,-143.64720751009847
50811.767578125,-142.21380466181816
50888.0615234375,-115.91999378688882
50964.35546875,-99.69061932490439
51040.6494140625,-100.14199751607322
51116.943359375,-118.14906197212036
51193.2373046875,-146.57139102056226
51269.53125,-142.56636801936276
51345.8251953125,-142.59476657049188
51422.119140625,-144.08180512432327
51498.4130859375,-145.71150579617546
51574.70703125,-146.59597991532326
51651.0009765625,-146.413005429876
51727.294921875,-147.01893999110843
51803.5888671875,-143.29844607436723
51879.8828125,-118.77869709867339
51956.1767578125,-100.01390551405778
52032.470703125,-98.88939447923592
52108.7646484375,-114.43668592806748
52185.05859375,-150.36340269049234
52261.3525390625,-139.90862036553125
52337.646484375,-139.44276076860584
52413.9404296875,-140.49376844373268
52490.234375,-142.01524831937857
52566.5283203125,-143.81494671261788
52642.822265625,-145.7129506512208
52719.1162109375,-146.71576414614253
52795.41015625,-141.84400218596454
52871.7041015625,-124.65474064397618
52947.998046875,-103.44789237759805
53024.2919921875,-100.6836125532132
53100.5859375,-114.12032373374247
53176.8798828125,-154.8873442857507
53253.173828125,-139.36180658214556
53329.4677734375,-138.88194305721936
53405.76171875,-139.50537728634552
53482.0556640625,-140.39145219719234
53558.349609375,-141.36757514352593
53634.6435546875,-142.3324775889704
53710.9375,-142.93410436231397
53787.2314453125,-141.15992408159275
53863.525390625,-129.28271938380635
53939.8193359375,-104.87774849254205
54016.11328125,-100.50446089068555
54092.4072265625,-111.87559305209403
54168.701171875,-148.9971299278725
54244.9951171875,-138.77538378140127
54321.2890625,-138.15712700549145
54397.5830078125,-138.37472180958795
54473.876953125,-138.73266700588226
54550.1708984375,-139.09393048600256
54626.46484375,-139.42756123739326
54702.7587890625,-139.73743235370944
54779.052734375,-140.07929194355103
54855.3466796875,-140.84915168936436
54931.640625,-122.00113484026487
55007.9345703125,-116.87330994659095
55084.228515625,-125.18605081280663
55160.5224609375,-140.82722481015568
55236.81640625,-141.27755560879146
55313.1103515625,-141.39945383462387
55389.404296875,-141.46876192077934
55465.6982421875,-141.5150465496251
55541.9921875,-141.54422552942495
55618.2861328125,-141.55922368828246
55694.580078125,-141.56803018621125
55770.8740234375,-141.61141322576856
55847.16796875,-142.03987829136338
55923.4619140625,-103.24258857611028
55999.755859375,-95.63240452572941
56076.0498046875,-103.13919871189869
56152.34375,-141.05208238752283
56228.6376953125,-141.36072852523074
56304.931640625,-141.26112762397472
56381.2255859375,-141.08344894978677
56457.51953125,-140.86724566772668
56533.8134765625,-140.62414239669704
56610.107421875,-140.37970723151764
56686.4013671875,-140.24043293147275
56762.6953125,-140.760554992228
56838.9892578125,-148.00258491494242
56915.283203125,-109.88953447109118
56991.5771484375,-100.39086593838563
57067.87109375,-106.27818518079502
57144.1650390625,-134.84001771936494
57220.458984375,-142.58815830210037
57296.7529296875,-143.6928025698937
57373.046875,-143.3658744232708
57449.3408203125,-142.7502591160405
57525.634765625,-142.0893240901484
57601.9287109375,-141.4689112561107
57678.22265625,-141.05377315706173
57754.5166015625,-141.64233987156896
57830.810546875,-147.18996401588618
57907.1044921875,-112.65003545296287
57983.3984375,-101.29185407991463
58059.6923828125,-105.50015324904126
58135.986328125,-130.40206651168327
58212.2802734375,-144.67803954432824
58288.57421875,-147.40314158270826
58364.8681640625,-147.27445496327343
58441.162109375,-146.5006443468147
58517.4560546875,-145.52366705849062
58593.75,-144.54920280202907
58670.0439453125,-143.8049259262452
58746.337890625,-144.1072990022456
58822.6318359375,-145.6959179646012
58898.92578125,-116.982034396756
58975.2197265625,-103.65143973724062
59051.513671875,-106.22640877991151
59127.8076171875,-127.89669637265439
59204.1015625,-146.14254258740286
